,Title,Career,Education,Work_area,pay,Employment_type,Company_name,Sectors
0,CAD/캐드/레이저 모집 경력직,경력 (최소 3년 0 개월 이상) 필수,학력무관,인천광역시 서구 봉수대로 1503-6 (금곡동),"연봉 4,000만원 ~ 4,300만원",기간의 정함이 없는 근로계약,다원레이져,절삭가공 및 유사처리업
1,김치제조 사원 모집,관계없음,학력무관,"인천광역시 서구 원적로17번길 18, 별미식품 (가좌동)","시급 9,160원 ~ 10,000원",기간의 정함이 없는 근로계약,농업회사법인(유)별미식품,과실 및 그 외 채소 절임식품 제조업
2,정육 담당자 직원 구인합니다.,관계없음,학력무관,"인천광역시 서구 청라루비로144번길 6-17, (주)이프라임유통(제주유채꽃도새기) (경서동)",월급 300만원 이상,기간의 정함이 없는 근로계약,(주)이프라임유통,육류 도매업
3,선반공 구인,경력 (최소 10년 0 개월 이상) 필수,학력무관,부산광역시 강서구 녹산산단261로 83 (송정동),월급 280만원 이상,기간의 정함이 없는 근로계약,한국환경기계(주),기타 기계 및 장비 제조업
4,청라스카이스위밍&키즈 수영지도자 모집합니다.,신입,대졸(2~3년) ~ 대졸(4년),"인천광역시 서구 청라한내로 90, mk뷰 8층 스카이스위밍@키즈 수영장",월급 230만원 ~ 250만원,기간의 정함이 없는 근로계약,키움산업주식회사,수영장 운영업
5,[화장품제조업] 생산지원 주임급 채용,경력 (최소 1년 0 개월 이상) 우대,학력무관,인천광역시 서구 원당대로262번길 30 (오류동),"연봉 2,400만원 ~ 3,000만원",기간의 정함이 없는 근로계약,(주)코스앤바이오,화장품 제조업
6,[태안 시설관리-조경] (주)에이디디시설관리단 22-7차 공개채용 - 국방과학연구소 자회사 -,관계없음,학력무관,충청남도 태안군 근흥면 근흥로 1421-15,"연봉 2,601만원 이상",기간의 정함이 없는 근로계약,(주)에이디디시설관리단,사업시설 유지ㆍ관리 서비스업
7,[경력직] 공장 현장 담당자 기술직 모집합니다.,경력 (최소 1년 0 개월 이상) 우대,학력무관,"인천광역시 서구 도담4로 35, 검단일반산업단지내 (오류동)","연봉 4,800만원 이상",기간의 정함이 없는 근로계약,동아금속(주),"기타 비철금속 제련, 정련 및 합금 제조업"
8,청라국제병원 경력있는 조리사 및 조리원 모집합니다.,관계없음,학력무관,"인천광역시 서구 청라에메랄드로102번길 8, 우성메디피아 2층, 4층 (청라동)","연봉 2,760만원 ~ 2,760만원",기간의 정함이 없는 근로계약,청라국제병원,일반 의원
9,[중곡동/5등급 아버님/오후] 재가 요양보호사 모집,관계없음,학력무관,"서울특별시 광진구 천호대로112길 55, (임의주소 기재) (능동)","시급 11,800원 이상",기간의 정함이 있는 근로계약(시간(선택)제),이레방문요양센터,방문 복지서비스 제공업
10,[중곡동/5등급 아버님/오후] 재가 요양보호사 모집,관계없음,학력무관,"서울특별시 광진구 동일로76가길 28, (임의주소 기재) (중곡동)","시급 11,600원 이상",기간의 정함이 있는 근로계약(시간(선택)제),이레방문요양센터,방문 복지서비스 제공업
11,철구조물 CAD 설계 신입 채용,신입,학력무관,"서울특별시 성동구 광나루로8길 31, SKV1센터2동 801, 802호 (성수동2가)",월급 200만원 이상,기간의 정함이 없는 근로계약,(주)세기위더스,기타 구조용 금속제품 제조업
12,주방 및 홀써빙원,관계없음,학력무관,전라북도 정읍시 천변로 210 (시기동),월급 250만원 ~ 280만원,기간의 정함이 없는 근로계약,옥계청,한식 음식점업
13,[채용대행] 사무원 채용,관계없음,학력무관,"서울특별시 중랑구 망우로 316 316, 이지밸리스 2층(상봉동) (상봉동)",월급 192만원 ~ 192만원,기간의 정함이 없는 근로계약,예스케어&quot;YesCare&quot;주간보호 상봉센터,노인 요양 복지시설 운영업
14,[9월 27일 동부여성& 성동광진 여성일자리매칭데이 참여기업]_마켓컬리 송파물류센터 물류사원 모집,관계없음,학력무관,"서울특별시 송파구 송파대로 55, 마켓컬리 송파물류센터 (장지동)",월급 230만원 ~ 230만원,기간의 정함이 있는 근로계약,주식회사컬리,상품 종합 도매업
15,"안양중앙시장 야채,과일 판매 및 계산원 모집",관계없음,학력무관,"경기도 안양시 만안구 안양로291번길 13, 1층 (안양동)","연봉 3,700만원 ~ 5,600만원",기간의 정함이 없는 근로계약,형제농산,신선식품 및 단순 가공식품 도매업
16,(주)대주코레스 회계결산 경력사원 직원 채용 (대리~부장급),경력 (최소 10년 0 개월 이상) 필수,대졸(4년) ~ 석사,전라북도 완주군 봉동읍 완주산단6로 266,"연봉 4,117만원 ~ 4,738만원",기간의 정함이 없는 근로계약,대주코레스(주),"알루미늄 압연, 압출 및 연신제품 제조업"
17,해군1함대 공무직근로자(조리원) 채용 공고,경력 (최소 2년 0 개월 이상) 우대,학력무관,"강원도 동해시 대동로 430, 사서함 604-24 (해상식당) (송정동)",월급 200만원 이상,기간의 정함이 없는 근로계약,해군제1함대사령부,"공공행정, 국방 및 사회보장 행정"
18,치매교육이수하신 요양보호사님 모집합니다 [남구청 채용대행],관계없음,학력무관,울산광역시 중구 운곡2길 7 (다운동),"시급 11,580원 ~ 11,580원",기간의 정함이 없는 근로계약(시간(선택)제),남문재가노인복지센터,사회복지 서비스업
19,제주하수슬러지자원화시설 운영 및 유지관리,관계없음,학력무관,제주특별자치도 제주시 도리로 254 (도두이동),월급 250만원 ~ 270만원,기간의 정함이 있는 근로계약,효성중공업(주),아파트 건설업
20,생산직 단기계약직 모집,관계없음,학력무관,전라북도 완주군 봉동읍 완주산단5로 248,월급 191만원 이상,기간의 정함이 있는 근로계약,아이큐어(주)완주화장품공장,화장품 제조업
22,(주)금호교통 성동08번 마을버스 기사님 모십니다,관계없음,학력무관,"서울특별시 성동구 마장로21길 5, 제1호건물 (주)금호교통 (홍익동)",월급 299만원 ~ 310만원,기간의 정함이 있는 근로계약,(주)금호교통,그 외 기타 분류 안된 운송 관련 서비스업
23,한우사육 인부 구함,관계없음,학력무관,전라북도 장수군 번암면 장수로 667-17,"시급 9,160원 이상",기간의 정함이 없는 근로계약,오이선,육우 사육업
24,포지티브스페이스566 미화원 구인,관계없음,학력무관,"경기도 김포시 검단로 910 910, 포지티브스페이스566 (감정동)","시급 9,160원 ~ 9,160원",기간의 정함이 없는 근로계약,(주)아이원서비스,사업시설 유지ㆍ관리 서비스업
25,가정어린이집 취사부 구인,신입,학력무관,"경기도 성남시 분당구 이매로 11, 601동 103호 (이매동, 아름마을선경아파트)",월급 72만원 이상,기간의 정함이 없는 근로계약(시간(선택)제),아기사랑어린이집,기타 교육지원 서비스업
26,(하복대)재가요양보호사님 모집,관계없음,학력무관,"충청북도 청주시 흥덕구 짐대로 14, 인근 (복대동, 세원테마빌아파트)","시급 11,600원 ~ 11,600원",기간의 정함이 없는 근로계약,이레재가장기요양기관,그 외 기타 비거주 복지 서비스업
27,[ 360미디어] 3D 배경 모델링 및 TA 모집,경력 (최소 5년 0 개월 이상) 필수,학력무관,"서울특별시 구로구 디지털로26길 111, 1705호 (구로동, 제이앤케이디지털타워)","연봉 3,000만원 ~ 5,000만원",기간의 정함이 없는 근로계약,(주)360미디어,그 외 기타 창작 및 예술관련 서비스업
28,"수원광명고속도로 동시흥영업소 조리원 모집(한식조리사, 구내식당, 식당조리원, 조리실장님)",관계없음,학력무관,"경기도 시흥시 수인로2426번길 14-21, 동시흥영업소 (논곡동)",월급 167만원 ~ 167만원,기간의 정함이 있는 근로계약,(주)윈피앤에스,사업시설 유지ㆍ관리 서비스업
